Car                                                 |Time       |Category       |Status |Video Game
Aston Martin Valkyrie AMR Pro '2022                 |01:31.800  |Group X        |Stock  |Forza Motorsport 2023
Red Bull X2010 '2010                                |01:36.283  |Group X        |Stock  |Assetto Corsa
Ferrari F2004 '2004                                 |01:39.483  |Formula 1      |Stock  |Assetto Corsa
Ferrari SF15-T '2015                                |01:45.876  |Formula 1      |Stock  |Assetto Corsa
Alpine A480 '2021                                   |01:51.111  |LMH            |Stock  |Assetto Corsa
SCG 007 '2021                                       |01:51.630  |LMH            |Stock  |Assetto Corsa
Nissan NP35 '1995                                   |01:54.138  |Group C        |Stock  |Assetto Corsa
Civetta Scintilla Acquarossa Stradale '2020         |01:58.619  |Hypercars      |Stock  |BeamNG Drive
Raesr Tachyon Speed '2019                           |02:00.332  |Hypercars      |Stock  |Forza Motorsport 2023
Lamborghini Aventador LP 700-4 '2011                |02:01.344  |Hypercars      |Stock  |Forza Motorsport 4
Mercedes-AMG ONE '2021                              |02:01.783  |Hypercars      |Stock  |Forza Motorsport 2023
Pininfarina Battista '2020                          |02:03.334  |Hypercars      |Stock  |Forza Motorsport 2023
Ford GT '2017                                       |02:04.242  |Hypercars      |Stock  |Forza Horizon 5
Lamborghini Aventador LP 700-4 '2011                |02:04.714  |Hypercars      |Stock  |Forza Horizon 5
McLaren P1 '2013                                    |02:05.778  |Hypercars      |Stock  |Forza Motorsport 2023
Rimac Nevera '2021                                  |02:06.920  |Hypercars      |Stock  |Forza Motorsport 2023
Lamborghini Huracán LP 620-2 Super Trofeo '2015     |02:07.593  |Cup Car        |Stock  |Assetto Corsa
Lamborghini Revuelto '2023                          |02:07.935  |Hypercars      |Stock  |Assetto Corsa
Radical SR3 XXR '2023                               |02:08.376  |Lightweight    |Stock  |Assetto Corsa
Aprilia RSV4-X Trenta '2022                         |02:09.045  |Racing Bikes   |Stock  |Ride 5
Lamborghini Aventador LP 700-4 '2011                |02:09.323  |Hypercars      |Stock  |Gran Turismo 6
Porsche 961 Le Mans '1987                           |02:10.209  |GTX            |Stock  |Assetto Corsa
Ferrari 288 GTO Evoluzione '1984                    |02:10.230  |Group B (Road) |Stock  |Assetto Corsa
Tommykaira ZZII '2000                               |02:10.567  |Supercars      |Stock  |Gran Turismo 6
Yamaha YZF-R1M '2020                                |02:10.951  |Sports Bike    |Stock  |Ride 5
Mercedes-AMG Vision Gran Turismo '2013              |02:11.339  |Hypercars      |Stock  |Gran Turismo 6
Lamborghini Aventador LP 700-4 '2011                |02:11.844  |Hypercars      |Stock  |Assetto Corsa
Ford GT '2017                                       |02:12.067  |Hypercars      |Stock  |Forza Motorsport 2023
Ferrari 296 GTB (F171) '2022                        |02:12.870  |Supercars      |Stock  |Assetto Corsa Evo
Dodge Challenger SRT Super Stock '2022              |02:13.285  |Sports Cars    |Stock  |Forza Horizon 5
Suzuki Hayabusa '2021                               |02:13.858  |Sports Bike    |Stock  |Ride 5
Lotus Evora GX '2012                                |02:15.213  |Cup Car        |Stock  |Assetto Corsa
Lotus Evora GTC '2014                               |02:16.950  |Cup Car        |Stock  |Assetto Corsa
KTM RC 8C '2023                                     |02:17.753  |Racing Bikes   |Stock  |Ride 5
Ford GT '2017                                       |02:18.108  |Hypercars      |Stock  |Assetto Corsa
Ford Mustang Shelby GT500 '2013                     |02:18.694  |Sports Cars    |Stock  |Gran Turismo 6
Dodge Viper ACR Extreme '2016                       |02:19.389  |Supercars      |Stock  |Assetto Corsa
Alfa Romeo Giulia GTAm (952) '2021                  |02:20.053  |Super Saloons  |Stock  |Assetto Corsa Evo
Chevrolet Camaro ZL1 1LE '2019                      |02:22.119  |Sports Cars    |Stock  |Assetto Corsa Evo
Cadillac CT5-V Blackwing '2022                      |02:22.125  |Super Saloons  |Stock  |Forza Motorsport 2023
Autobello Piccolina Veleno V8 '2024                 |02:22.326  |Hot Hatches    |Stock  |BeamNG Drive
Lamborghini Miura Concept '2006                     |02:22.371  |Supercars      |Stock  |Assetto Corsa
Ferrari 488 GTB '2015                               |02:22.692  |Supercars      |Stock  |Assetto Corsa
McLaren MP4-12C '2011                               |02:23.319  |Supercars      |Stock  |Assetto Corsa
Chevrolet Camaro SS '2010                           |02:23.413  |Sports Cars    |Stock  |Gran Turismo 6
Cadillac CT4-V Blackwing '2022                      |02:26.351  |Super Saloons  |Stock  |Forza Motorsport 2023
Alpine A110S Aero Kit '2021                         |02:26.352  |Sports Cars    |Stock  |Assetto Corsa Evo
Lotus Emira Sport "First Edition" DCT '2022         |02:26.412  |Sports Cars    |Stock  |Assetto Corsa Evo
Ford Mustang Bullitt '2018                          |02:26.897  |Sports Cars    |Stock  |BeamNG Drive
Lotus Emira Sport "First Edition" MT '2022          |02:27.930  |Sports Cars    |Stock  |Assetto Corsa Evo
Lotus Emira Touring "First Edition" DCT '2022       |02:28.374  |Sports Cars    |Stock  |Assetto Corsa Evo
Lotus Emira Touring "First Edition" MT '2022        |02:28.500  |Sports Cars    |Stock  |Assetto Corsa Evo
Volkswagen Golf GTI Clubsport '2020                 |02:28.977  |Hot Hatches    |Stock  |Assetto Corsa Evo
Audi R8 V10 Plus '2013                              |02:29.031  |Supercars      |Stock  |Assetto Corsa
Lotus Evora GTE '2011                               |02:30.315  |Supercars      |Stock  |Assetto Corsa
Hyundai i30 N "Drive-N Limited Edition" (PD) '2022  |02:31.020  |Hot Hatches    |Stock  |Assetto Corsa Evo
Mazda RX-8 Type S '2007                             |02:31.317  |Sports Cars    |Stock  |Gran Turismo 6
Porsche 718 Cayman S (982) '2014                    |02:32.001  |Sports Cars    |Stock  |Assetto Corsa
Hyundai i30 N (PD) '2020                            |02:32.646  |Hot Hatches    |Stock  |Assetto Corsa Evo
Hiroshi Sunburst 2.0 Sport RS AWD DCT '2009         |02:33.019  |Super Saloons  |Stock  |BeamNG Drive
Lotus Elise SC '2008                                |02:36.177  |Sports Cars    |Stock  |Assetto Corsa
Honda S2000 (AP1) '1999                             |02:38.784  |Sports Cars    |Stock  |Assetto Corsa Evo
Alfa Romeo Junior Elettrica Veloce '2024            |02:39.267  |Super S.U.V.   |Stock  |Assetto Corsa Evo
Chrysler PT Cruiser GT '2003                        |02:40.467  |Hot Hatches    |Stock  |Assetto Corsa
Ford Escort RS Cosworth '1992                       |02:40.911  |Hot Hatches    |Stock  |Assetto Corsa Evo
Abarth 695 Biposto (312) '2014                      |02:41.658  |Hot Hatches    |Stock  |Assetto Corsa Evo
Alpine A290_β '2023                                 |02:42.450  |Hot Hatches    |Stock  |Assetto Corsa Evo
Ford Fiesta MR155 '2011                             |02:45.387  |Hot Hatches    |Stock  |Assetto Corsa
Honda Fit RS '2010                                  |02:49.086  |Hot Hatches    |Stock  |Gran Turismo 6
Subaru Legacy B4 2.5 GT S-Package (BM) '2009        |02:51.282  |Super Saloons  |Stock  |Assetto Corsa
Renault Twingo R.S. 133 '2009                       |02:52.038  |Hot Hatches    |Stock  |Assetto Corsa
BMW X1 sDrive 20d (E84) '2013                       |02:52.353  |S.U.V.         |Stock  |Assetto Corsa
Italjet Dragster 200 '2022                          |03:10.425  |Scooter        |Stock  |Ride 5
Citroën Ami '2020                                   |03:39.159  |Quadricycle    |Stock  |Assetto Corsa
